,sample,Depth_bin,subtype,count,proportion,group
288,DLE3,"(0.7, 0.8]",Basal KC,20,0.5443658138268916,DLE
289,DLE3,"(0.7, 0.8]",Spinous KC-2,13,0.3538377789874796,DLE
290,DLE3,"(0.7, 0.8]",Channel KC,9,0.24496461622210125,DLE
291,DLE3,"(0.7, 0.8]",Spinous KC-1,7,0.19052803483941208,DLE
292,DLE3,"(0.7, 0.8]",Cycling KC,54,1.4697876973326076,DLE
293,DLE3,"(0.7, 0.8]",ORS,0,0.0,DLE
294,DLE3,"(0.7, 0.8]",Spinous KC-4,148,4.028307022318998,DLE
295,DLE3,"(0.7, 0.8]",HF-SG,0,0.0,DLE
296,DLE3,"(0.7, 0.8]",OB,0,0.0,DLE
297,DLE3,"(0.7, 0.8]",Stress KC,24,0.65323897659227,DLE
298,DLE3,"(0.7, 0.8]",IRS,1,0.027218290691344585,DLE
299,DLE3,"(0.4, 0.5]",Spinous KC-3,213,5.797495917256397,DLE
300,DLE3,"(0.4, 0.5]",Granular KC,10,0.2721829069134458,DLE
301,DLE3,"(0.4, 0.5]",Basal KC,7,0.19052803483941208,DLE
302,DLE3,"(0.4, 0.5]",Spinous KC-2,6,0.1633097441480675,DLE
303,DLE3,"(0.4, 0.5]",Channel KC,4,0.10887316276537834,DLE
304,DLE3,"(0.4, 0.5]",Spinous KC-1,0,0.0,DLE
305,DLE3,"(0.4, 0.5]",Cycling KC,6,0.1633097441480675,DLE
306,DLE3,"(0.4, 0.5]",ORS,0,0.0,DLE
307,DLE3,"(0.4, 0.5]",Spinous KC-4,27,0.7348938486663038,DLE
308,DLE3,"(0.4, 0.5]",HF-SG,0,0.0,DLE
309,DLE3,"(0.4, 0.5]",OB,0,0.0,DLE
310,DLE3,"(0.4, 0.5]",Stress KC,2,0.05443658138268917,DLE
311,DLE3,"(0.4, 0.5]",IRS,0,0.0,DLE
312,DLE3,"(0.3, 0.4]",Spinous KC-3,224,6.096897114861187,DLE
313,DLE3,"(0.3, 0.4]",Granular KC,19,0.5171475231355471,DLE
314,DLE3,"(0.3, 0.4]",Basal KC,4,0.10887316276537834,DLE
315,DLE3,"(0.3, 0.4]",Spinous KC-2,9,0.24496461622210125,DLE
316,DLE3,"(0.3, 0.4]",Channel KC,3,0.08165487207403375,DLE
317,DLE3,"(0.3, 0.4]",Spinous KC-1,0,0.0,DLE
318,DLE3,"(0.3, 0.4]",Cycling KC,4,0.10887316276537834,DLE
319,DLE3,"(0.3, 0.4]",ORS,0,0.0,DLE
320,DLE3,"(0.3, 0.4]",Spinous KC-4,14,0.38105606967882416,DLE
321,DLE3,"(0.3, 0.4]",HF-SG,0,0.0,DLE
322,DLE3,"(0.3, 0.4]",OB,0,0.0,DLE
323,DLE3,"(0.3, 0.4]",Stress KC,2,0.05443658138268917,DLE
324,DLE3,"(0.3, 0.4]",IRS,0,0.0,DLE
325,DLE3,"(0.6, 0.7]",Spinous KC-3,193,5.253130103429505,DLE
326,DLE3,"(0.6, 0.7]",Granular KC,0,0.0,DLE
327,DLE3,"(0.6, 0.7]",Basal KC,4,0.10887316276537834,DLE
328,DLE3,"(0.6, 0.7]",Spinous KC-2,9,0.24496461622210125,DLE
329,DLE3,"(0.6, 0.7]",Channel KC,9,0.24496461622210125,DLE
330,DLE3,"(0.6, 0.7]",Spinous KC-1,1,0.027218290691344585,DLE
331,DLE3,"(0.6, 0.7]",Cycling KC,30,0.8165487207403375,DLE
332,DLE3,"(0.6, 0.7]",ORS,0,0.0,DLE
333,DLE3,"(0.6, 0.7]",Spinous KC-4,78,2.1230266739248775,DLE
334,DLE3,"(0.6, 0.7]",HF-SG,0,0.0,DLE
335,DLE3,"(0.6, 0.7]",OB,1,0.027218290691344585,DLE
336,DLE3,"(0.6, 0.7]",Stress KC,15,0.40827436037016873,DLE
337,DLE3,"(0.6, 0.7]",IRS,0,0.0,DLE
338,DLE3,"(-0.001, 0.1]",Spinous KC-3,127,3.456722917800762,DLE
339,DLE3,"(-0.001, 0.1]",Granular KC,110,2.9940119760479043,DLE
340,DLE3,"(-0.001, 0.1]",Basal KC,2,0.05443658138268917,DLE
341,DLE3,"(-0.001, 0.1]",Spinous KC-2,1,0.027218290691344585,DLE
342,DLE3,"(-0.001, 0.1]",Channel KC,0,0.0,DLE
343,DLE3,"(-0.001, 0.1]",Spinous KC-1,1,0.027218290691344585,DLE
344,DLE3,"(-0.001, 0.1]",Cycling KC,2,0.05443658138268917,DLE
345,DLE3,"(-0.001, 0.1]",ORS,0,0.0,DLE
346,DLE3,"(-0.001, 0.1]",Spinous KC-4,17,0.46271094175285793,DLE
347,DLE3,"(-0.001, 0.1]",HF-SG,0,0.0,DLE
348,DLE3,"(-0.001, 0.1]",OB,0,0.0,DLE
349,DLE3,"(-0.001, 0.1]",Stress KC,4,0.10887316276537834,DLE
350,DLE3,"(-0.001, 0.1]",IRS,0,0.0,DLE
351,DLE3,"(0.2, 0.3]",Spinous KC-3,202,5.498094719651606,DLE
352,DLE3,"(0.2, 0.3]",Granular KC,57,1.5514425694066412,DLE
353,DLE3,"(0.2, 0.3]",Basal KC,0,0.0,DLE
354,DLE3,"(0.2, 0.3]",Spinous KC-2,0,0.0,DLE
355,DLE3,"(0.2, 0.3]",Channel KC,4,0.10887316276537834,DLE
